Campaign,Asset Type,Text,Description 1,Description 2,Final URL
[Pesquisa] Ecobraz — Coletas B2B,Sitelink,Como Funciona,"Do contato à destinação,",passo a passo.,https://ecobraz.org/como-funciona/
[Pesquisa] Ecobraz — Coletas B2B,Sitelink,Evidências Públicas,Registros verificáveis,das destinações.,https://ecobraz.org/evidencias/
[Pesquisa] Ecobraz — Coletas B2B,Sitelink,Soluções por Setor,A prova que o seu,mercado exige.,https://ecobraz.org/solucoes-por-setor/
[Pesquisa] Ecobraz — Coletas B2B,Sitelink,Solicitar Avaliação,Descreva o lote e,receba retorno.,https://ecobraz.org/agendamento/?perfil=empresa
[Pesquisa] Ecobraz — Coletas B2B,Callout,Foco em empresas,,,
[Pesquisa] Ecobraz — Coletas B2B,Callout,Inventário e custódia,,,
[Pesquisa] Ecobraz — Coletas B2B,Callout,Grande São Paulo,,,
[Pesquisa] Ecobraz — Coletas B2B,Callout,Retirada agendada,,,
[Pesquisa] Ecobraz — Coletas B2B,Callout,Coletas recorrentes,,,
[Pesquisa] Ecobraz — Coletas B2B,Callout,Destinação documentada,,,
[Pesquisa] Ecobraz — Coletas B2B,Structured snippet (Serviços),Coleta de eletrônicos,,,
[Pesquisa] Ecobraz — Coletas B2B,Structured snippet (Serviços),Sanitização de dados,,,
[Pesquisa] Ecobraz — Coletas B2B,Structured snippet (Serviços),Destruição de mídias,,,
[Pesquisa] Ecobraz — Coletas B2B,Structured snippet (Serviços),Desmobilização de TI,,,
[Pesquisa] Ecobraz — Coletas B2B,Structured snippet (Serviços),Logística reversa,,,
[Pesquisa] Ecobraz — Coletas B2B,Structured snippet (Serviços),Linha branca em lote,,,
